MAKE,MODEL,YEAR,PRICE,MILEAGE_KM,CURRENCY,URL,SCRAPED_AT
Mercedes,C180,2017,1975000,150000,EGP,https://www.contactcars.com/en/used-cars/mercedes-c180/4c70343a82dc,2026-07-09T12:00:01.838Z
Mini,Cooper,2019,1200000,95000,EGP,https://www.contactcars.com/en/used-cars/mini-cooper/bb7d009eaa2e,2026-07-09T12:00:01.839Z
Soueast,S 06,2026,1300000,30000,EGP,https://www.contactcars.com/en/used-cars/soueast-s_06/c3cc109b58fd,2026-07-09T12:00:01.839Z
Fiat,Tipo,2022,780000,165000,EGP,https://www.contactcars.com/en/used-cars/fiat-tipo/b4bb0b8a9202,2026-07-09T12:00:01.840Z
Mercedes,GLC 300,2025,5380000,22000,EGP,https://www.contactcars.com/en/used-cars/mercedes-glc_300/b3ea95119adc,2026-07-09T12:00:01.840Z
Peugeot,508,2014,540000,305000,EGP,https://www.contactcars.com/en/used-cars/peugeot-508/7523187e77b5,2026-07-09T12:00:01.840Z
Hyundai,I30,2026,1280000,2000,EGP,https://www.contactcars.com/en/used-cars/hyundai-i30/31d32ca65bc0,2026-07-09T12:00:01.840Z
Peugeot,207,2008,350000,250000,EGP,https://www.contactcars.com/en/used-cars/peugeot-207/487c95ddddee,2026-07-09T12:00:01.840Z
Hyundai,Tucson,2021,1550000,187400,EGP,https://www.contactcars.com/en/used-cars/hyundai-tucson/2b1d73651a5f,2026-07-09T12:00:01.840Z
Mercedes,CLA 200,2024,2250000,70000,EGP,https://www.contactcars.com/en/used-cars/mercedes-cla_200/2a2ffbbf0b59,2026-07-09T12:00:01.840Z
Chery,Tiggo 8 Pro Max,2027,1590000,10,EGP,https://www.contactcars.com/en/used-cars/chery-tiggo_8_pro_max/94a89c50432e,2026-07-09T12:00:01.840Z
SsangYong,Torres,2024,1750000,48000,EGP,https://www.contactcars.com/en/used-cars/ssangyong-torres/b202019ccb9e,2026-07-09T12:00:01.840Z
Jeep,Grand Cherokee,2022,4750000,24000,EGP,https://www.contactcars.com/en/used-cars/jeep-grand_cherokee/9be8a4658647,2026-07-09T12:00:01.840Z
Renault,Captur,2019,650000,149000,EGP,https://www.contactcars.com/en/used-cars/renault-captur/c77963e7a439,2026-07-09T12:00:01.840Z
Fiat,128 nova,1986,85000,100000,EGP,https://www.contactcars.com/en/used-cars/fiat-128_nova/978b82ee07bb,2026-07-09T12:00:01.840Z
Peugeot,5008,2026,2450000,10300,EGP,https://www.contactcars.com/en/used-cars/peugeot-5008/e84b513fd463,2026-07-09T12:00:01.840Z
Peugeot,5008,2026,2450000,10300,EGP,https://www.contactcars.com/en/used-cars/peugeot-5008/5d6cbed95aa7,2026-07-09T12:00:01.840Z
Toyota,Corolla,2022,1220000,129000,EGP,https://www.contactcars.com/en/used-cars/toyota-corolla/894ec1d2b747,2026-07-09T12:00:01.840Z
Mercedes,EQS 450+,2023,5000000,28000,EGP,https://www.contactcars.com/en/used-cars/mercedes-eqs_450+/0c7cd678e7fa,2026-07-09T12:00:01.840Z
BMW,520i,2018,1650000,170000,EGP,https://www.contactcars.com/en/used-cars/bmw-520i/eabd292cf3c1,2026-07-09T12:00:01.840Z
Suzuki,Grand Vitara,2024,1320000,30,EGP,https://www.contactcars.com/en/used-cars/suzuki-grand_vitara/fb750040f280,2026-07-09T12:00:01.840Z
BMW,520i,2013,1280000,188000,EGP,https://www.contactcars.com/en/used-cars/bmw-520i/011998fb8ff2,2026-07-09T12:00:01.840Z
Brilliance,H 530,2022,750000,55000,EGP,https://www.contactcars.com/en/used-cars/brilliance-h_530/95a6f6e0f039,2026-07-09T12:00:01.840Z
Opel,Astra,2016,680000,128000,EGP,https://www.contactcars.com/en/used-cars/opel-astra/015086b59bb2,2026-07-09T12:00:01.840Z
Kia,Sportage,2021,1520000,74000,EGP,https://www.contactcars.com/en/used-cars/kia-sportage/ab73e3385d59,2026-07-09T12:00:01.840Z
Toyota,Corolla,2021,1250000,115000,EGP,https://www.contactcars.com/en/used-cars/toyota-corolla/aed11c6d56fa,2026-07-09T12:00:01.840Z
Audi,RS Q8,2024,6390000,7000,EGP,https://www.contactcars.com/en/used-cars/audi-rs_q8/41a754aa782d,2026-07-09T12:00:02.046Z
Seat,ATECA,2019,1160000,118000,EGP,https://www.contactcars.com/en/used-cars/seat-ateca/1878dfafa769,2026-07-09T12:00:02.046Z
BMW,X1,2020,1780000,90000,EGP,https://www.contactcars.com/en/used-cars/bmw-x1/c2beeb7924cf,2026-07-09T12:00:02.046Z
Chevrolet,Captiva,2021,850000,117000,EGP,https://www.contactcars.com/en/used-cars/chevrolet-captiva/491e855b9db7,2026-07-09T12:00:02.046Z
Volkswagen,Tiguan,2026,2550000,900,EGP,https://www.contactcars.com/en/used-cars/volkswagen-tiguan/7f3ba6c4ac06,2026-07-09T12:00:02.046Z
Nissan,Qashqai,2019,875000,210000,EGP,https://www.contactcars.com/en/used-cars/nissan-qashqai/f59857f3affc,2026-07-09T12:00:02.046Z
Citroen,C4,2025,1250000,62000,EGP,https://www.contactcars.com/en/used-cars/citroen-c4/742a88537f5e,2026-07-09T12:00:02.046Z
Suzuki,Swift Dzire,2022,620000,225000,EGP,https://www.contactcars.com/en/used-cars/suzuki-swift_dzire/00144b1c3e9b,2026-07-09T12:00:02.046Z
BMW,520i,2024,4600000,20000,EGP,https://www.contactcars.com/en/used-cars/bmw-520i/08592c1a369e,2026-07-09T12:00:02.046Z
BMW,X2,2024,3300000,19000,EGP,https://www.contactcars.com/en/used-cars/bmw-x2/398bc6a1e2b1,2026-07-09T12:00:02.046Z
Hyundai,Sonata,2011,700000,300000,EGP,https://www.contactcars.com/en/used-cars/hyundai-sonata/827a96f2c8b9,2026-07-09T12:00:02.046Z
Ford,Fusion,2018,1050000,120000,EGP,https://www.contactcars.com/en/used-cars/ford-fusion/ceda0cbdacce,2026-07-09T12:00:02.046Z
Nissan,Sunny,2019,550000,111000,EGP,https://www.contactcars.com/en/used-cars/nissan-sunny/f34761a5e6e9,2026-07-09T12:00:02.046Z
Toyota,Corolla,2025,1520000,42000,EGP,https://www.contactcars.com/en/used-cars/toyota-corolla/e8bb93f5938c,2026-07-09T12:00:02.046Z
Mercedes,S500,2022,10500000,66000,EGP,https://www.contactcars.com/en/used-cars/mercedes-s500/331fc8b4fd74,2026-07-09T12:00:02.046Z
Kia,XCeed,2025,1475000,4000,EGP,https://www.contactcars.com/en/used-cars/kia-xceed/058dec8f3187,2026-07-09T12:00:02.046Z
Toyota,Rush,2023,1450000,28600,EGP,https://www.contactcars.com/en/used-cars/toyota-rush/afaef2c11e5b,2026-07-09T12:00:02.046Z
Range Rover,VOGUE,2024,13500000,24600,EGP,https://www.contactcars.com/en/used-cars/range_rover-vogue/9ab34d93e649,2026-07-09T12:00:02.046Z
Chery,Tiggo 4 PRO,2025,845000,57000,EGP,https://www.contactcars.com/en/used-cars/chery-tiggo_4_pro/1bfdd4fdea4f,2026-07-09T12:00:02.046Z
Mercedes,CLA 200,2024,2425000,37500,EGP,https://www.contactcars.com/en/used-cars/mercedes-cla_200/04edd7605d3a,2026-07-09T12:00:02.046Z
Toyota,Fortuner,2024,3100000,67000,EGP,https://www.contactcars.com/en/used-cars/toyota-fortuner/e4d63950e594,2026-07-09T12:00:02.046Z
Li Auto,L7,2026,3000000,1200,EGP,https://www.contactcars.com/en/used-cars/li_auto-l7/a85381d6275f,2026-07-09T12:00:02.046Z
Nissan,Qashqai,2024,1325000,40000,EGP,https://www.contactcars.com/en/used-cars/nissan-qashqai/e222dd3ce8c7,2026-07-09T12:00:02.046Z
Skoda,KODIAQ,2022,2150000,90000,EGP,https://www.contactcars.com/en/used-cars/skoda-kodiaq/9f0932f68e73,2026-07-09T12:00:02.046Z
Renault,Duster,2018,610000,198000,EGP,https://www.contactcars.com/en/used-cars/renault-duster/3312330f5bcf,2026-07-09T12:00:02.046Z
Skoda,Fantasia,2010,635000,168000,EGP,https://www.contactcars.com/en/used-cars/skoda-fantasia/e8046fb82330,2026-07-09T12:00:02.788Z
Mercedes,E 250,2011,1400000,230000,EGP,https://www.contactcars.com/en/used-cars/mercedes-e_250/8451140099af,2026-07-09T12:00:02.788Z
Volkswagen,Tiguan,2010,795000,249000,EGP,https://www.contactcars.com/en/used-cars/volkswagen-tiguan/d7f8f9a6a099,2026-07-09T12:00:02.788Z
BYD,F3,2020,550000,38000,EGP,https://www.contactcars.com/en/used-cars/byd-f3/715b752586a9,2026-07-09T12:00:02.788Z
Hyundai,Elantra,2017,925000,70000,EGP,https://www.contactcars.com/en/used-cars/hyundai-elantra/adb223e8da95,2026-07-09T12:00:02.788Z
Fiat,Punto Evo,2012,350000,250,EGP,https://www.contactcars.com/en/used-cars/fiat-punto_evo/0d37ce6793b2,2026-07-09T12:00:02.788Z
Opel,Astra,2021,675000,161000,EGP,https://www.contactcars.com/en/used-cars/opel-astra/fbd80b07927b,2026-07-09T12:00:02.788Z
Seat,Ibiza,2020,720000,146000,EGP,https://www.contactcars.com/en/used-cars/seat-ibiza/0f27b2caa109,2026-07-09T12:00:02.788Z
Chevrolet,Cruze,2010,450000,167050,EGP,https://www.contactcars.com/en/used-cars/chevrolet-cruze/7e030ef51134,2026-07-09T12:00:02.788Z
Skoda,KODIAQ,2023,2250000,70000,EGP,https://www.contactcars.com/en/used-cars/skoda-kodiaq/2d18aa601288,2026-07-09T12:00:02.788Z
Kia,Sportage,2016,980000,200,EGP,https://www.contactcars.com/en/used-cars/kia-sportage/8b35d806abf4,2026-07-09T12:00:02.788Z
Mercedes,C180,2020,2080000,130000,EGP,https://www.contactcars.com/en/used-cars/mercedes-c180/6ade576db54f,2026-07-09T12:00:02.788Z
Chery,Envy,2017,330000,99700,EGP,https://www.contactcars.com/en/used-cars/chery-envy/4d2d0eacbb5d,2026-07-09T12:00:02.788Z
Mazda,3,2019,800000,123000,EGP,https://www.contactcars.com/en/used-cars/mazda-3/e1cfb8c67961,2026-07-09T12:00:02.788Z
Mercedes,CLA 180,2015,925000,200000,EGP,https://www.contactcars.com/en/used-cars/mercedes-cla_180/52c43358fba5,2026-07-09T12:00:02.788Z
Ford,Ecosport,2019,600000,150000,EGP,https://www.contactcars.com/en/used-cars/ford-ecosport/226930806b80,2026-07-09T12:00:02.788Z
Mercedes,E200,2021,3850000,22850,EGP,https://www.contactcars.com/en/used-cars/mercedes-e200/c0b28d20f026,2026-07-09T12:00:02.788Z
Mercedes,CLA 200,2024,2750000,18500,EGP,https://www.contactcars.com/en/used-cars/mercedes-cla_200/23d0b14c4497,2026-07-09T12:00:02.788Z
Hyundai,Santa Fe,2025,3000000,78000,EGP,https://www.contactcars.com/en/used-cars/hyundai-santa_fe/8c10ae46f524,2026-07-09T12:00:02.788Z
Hyundai,Elantra CN7,2022,1200000,82000,EGP,https://www.contactcars.com/en/used-cars/hyundai-elantra_cn7/171a1004ba38,2026-07-09T12:00:02.788Z
Mercedes,GLC 300 COUPE,2023,4300000,40000,EGP,https://www.contactcars.com/en/used-cars/mercedes-glc_300_coupe/c6aa32fff47d,2026-07-09T12:00:02.788Z
BMW,X6,2018,2700000,170000,EGP,https://www.contactcars.com/en/used-cars/bmw-x6/8c5e5dbb9ed8,2026-07-09T12:00:02.788Z
Renault,Megane,2022,895000,155000,EGP,https://www.contactcars.com/en/used-cars/renault-megane/9194f2a1e014,2026-07-09T12:00:02.788Z
MG,6,2022,850000,95000,EGP,https://www.contactcars.com/en/used-cars/mg-6/5f6d8ddaa927,2026-07-09T12:00:03.226Z
Peugeot,5008,2021,1250000,112300,EGP,https://www.contactcars.com/en/used-cars/peugeot-5008/022f0e3d04d1,2026-07-09T12:00:03.226Z
MG,ZS,2022,885000,14000,EGP,https://www.contactcars.com/en/used-cars/mg-zs/bd0ab79766a2,2026-07-09T12:00:03.226Z
Peugeot,2008,2019,720000,200000,EGP,https://www.contactcars.com/en/used-cars/peugeot-2008/bad73c284bd0,2026-07-09T12:00:03.226Z
BMW,320i,2026,3049000,14900,EGP,https://www.contactcars.com/en/used-cars/bmw-320i/93c3075b84ca,2026-07-09T12:00:03.226Z
Changan,Eado Plus,2025,1200000,11500,EGP,https://www.contactcars.com/en/used-cars/changan-eado_plus/67a030756351,2026-07-09T12:00:03.226Z
Opel,Astra,2017,750000,90000,EGP,https://www.contactcars.com/en/used-cars/opel-astra/ad88ee060c7d,2026-07-09T12:00:03.226Z
Opel,Astra,2021,699000,122000,EGP,https://www.contactcars.com/en/used-cars/opel-astra/20fc3c97fc76,2026-07-09T12:00:03.226Z
Volkswagen,ID.4,2024,1450000,75000,EGP,https://www.contactcars.com/en/used-cars/volkswagen-id.4/124305412e8d,2026-07-09T12:00:03.226Z
Toyota,Corolla,2023,1100000,100000,EGP,https://www.contactcars.com/en/used-cars/toyota-corolla/4e492783f6e9,2026-07-09T12:00:03.226Z
Opel,Astra,2015,570000,203000,EGP,https://www.contactcars.com/en/used-cars/opel-astra/8c5b599bd473,2026-07-09T12:00:03.226Z
Renault,Logan MCV,2015,320000,209000,EGP,https://www.contactcars.com/en/used-cars/renault-logan_mcv/4e2e624b2128,2026-07-09T12:00:03.226Z
Hyundai,Tucson NX4e,2022,1800000,6800,EGP,https://www.contactcars.com/en/used-cars/hyundai-tucson_nx4e/8a0984a6f493,2026-07-09T12:00:03.226Z
Nissan,Qashqai,2015,750000,85000,EGP,https://www.contactcars.com/en/used-cars/nissan-qashqai/06ed2388d558,2026-07-09T12:00:03.226Z
Fiat,Tipo,2020,580000,270000,EGP,https://www.contactcars.com/en/used-cars/fiat-tipo/c5f2f4dedc32,2026-07-09T12:00:03.226Z
BMW,520i,2018,2000000,139000,EGP,https://www.contactcars.com/en/used-cars/bmw-520i/101c2e1c9585,2026-07-09T12:00:03.226Z
Renault,Sandero,2016,520000,85000,EGP,https://www.contactcars.com/en/used-cars/renault-sandero/478c352a257f,2026-07-09T12:00:03.226Z
Jeep,Cherokee,2010,750000,330000,EGP,https://www.contactcars.com/en/used-cars/jeep-cherokee/2608b80f28ae,2026-07-09T12:00:03.226Z
Kia,Sorento,2024,2750000,32000,EGP,https://www.contactcars.com/en/used-cars/kia-sorento/eb7be16593c3,2026-07-09T12:00:03.226Z
BMW,328i,2014,1100000,223000,EGP,https://www.contactcars.com/en/used-cars/bmw-328i/1ecf0953f96a,2026-07-09T12:00:03.226Z
Mercedes,A200,2021,1950000,30000,EGP,https://www.contactcars.com/en/used-cars/mercedes-a200/9fcfa3ad66b7,2026-07-09T12:00:03.226Z
Hyundai,Bayon,2022,865000,65000,EGP,https://www.contactcars.com/en/used-cars/hyundai-bayon/bd32d6057419,2026-07-09T12:00:03.226Z
Dodge,Charger,2012,1550000,223000,EGP,https://www.contactcars.com/en/used-cars/dodge-charger/59e081842df7,2026-07-09T12:00:03.226Z
Nissan,Sunny,2026,799999,26500,EGP,https://www.contactcars.com/en/used-cars/nissan-sunny/1822d8f9a05d,2026-07-09T12:00:03.226Z
Peugeot,3008,2020,1200000,175000,EGP,https://www.contactcars.com/en/used-cars/peugeot-3008/d70e83128d92,2026-07-09T12:00:03.226Z
Jeep,Grand Cherokee,2024,4450000,16000,EGP,https://www.contactcars.com/en/used-cars/jeep-grand_cherokee/ffa11777e941,2026-07-09T12:00:03.457Z
MG,6,2020,890000,75000,EGP,https://www.contactcars.com/en/used-cars/mg-6/2bfb14333c0d,2026-07-09T12:00:03.457Z
Mercedes,C200,2009,870000,280,EGP,https://www.contactcars.com/en/used-cars/mercedes-c200/78391efd8149,2026-07-09T12:00:03.457Z
Hyundai,Accent RB,2017,640000,124000,EGP,https://www.contactcars.com/en/used-cars/hyundai-accent_rb/bad7015430f9,2026-07-09T12:00:03.457Z
BMW,318i,2017,1100000,133000,EGP,https://www.contactcars.com/en/used-cars/bmw-318i/4ebd8f029528,2026-07-09T12:00:03.457Z
Mercedes,A200,2020,1650000,177000,EGP,https://www.contactcars.com/en/used-cars/mercedes-a200/37fe0995f059,2026-07-09T12:00:03.457Z
Suzuki,Jimny,2023,1350000,21750,EGP,https://www.contactcars.com/en/used-cars/suzuki-jimny/2356f69feb9e,2026-07-09T12:00:03.457Z
Fiat,Punto,2009,300000,80000,EGP,https://www.contactcars.com/en/used-cars/fiat-punto/dc852f6ee8c7,2026-07-09T12:00:03.457Z
Toyota,Yaris,2006,450000,111000,EGP,https://www.contactcars.com/en/used-cars/toyota-yaris/a15207bcfe7d,2026-07-09T12:00:03.457Z
Hyundai,Elantra HD,2021,680000,508000,EGP,https://www.contactcars.com/en/used-cars/hyundai-elantra_hd/d17c1df60f98,2026-07-09T12:00:03.457Z
Peugeot,2008,2020,850000,145000,EGP,https://www.contactcars.com/en/used-cars/peugeot-2008/87559e501caf,2026-07-09T12:00:03.457Z
Suzuki,Dzire,2022,630000,32000,EGP,https://www.contactcars.com/en/used-cars/suzuki-dzire/48f789fa1ce3,2026-07-09T12:00:03.457Z
Peugeot,2008,2024,1400000,40000,EGP,https://www.contactcars.com/en/used-cars/peugeot-2008/6230ada48271,2026-07-09T12:00:03.457Z
Avatr,12,2025,2850000,7000,EGP,https://www.contactcars.com/en/used-cars/avatr-12/9d4981ab461e,2026-07-09T12:00:03.457Z
Kia,Sportage,2022,1250000,194000,EGP,https://www.contactcars.com/en/used-cars/kia-sportage/5a43adfe70dd,2026-07-09T12:00:03.457Z
Skoda,KODIAQ,2022,1900000,120000,EGP,https://www.contactcars.com/en/used-cars/skoda-kodiaq/a691777d50f8,2026-07-09T12:00:03.457Z
Renault,Duster,2016,650000,110000,EGP,https://www.contactcars.com/en/used-cars/renault-duster/187c92d4164f,2026-07-09T12:00:03.457Z
Audi,Q7,2023,5100000,24000,EGP,https://www.contactcars.com/en/used-cars/audi-q7/6319695d5baf,2026-07-09T12:00:03.457Z
Kia,Sportage,2024,2120000,35000,EGP,https://www.contactcars.com/en/used-cars/kia-sportage/7bfd3216f18c,2026-07-09T12:00:03.457Z
Daewoo,Nubira,2009,300000,260000,EGP,https://www.contactcars.com/en/used-cars/daewoo-nubira/37ef1a936141,2026-07-09T12:00:03.457Z
Kia,Sportage,2017,1200000,130000,EGP,https://www.contactcars.com/en/used-cars/kia-sportage/dd2e6ef34052,2026-07-09T12:00:03.457Z
Toyota,Corolla,2026,1610000,16000,EGP,https://www.contactcars.com/en/used-cars/toyota-corolla/3653563f580d,2026-07-09T12:00:03.457Z
Brilliance,V6,2021,750000,254000,EGP,https://www.contactcars.com/en/used-cars/brilliance-v6/4bebba0c6406,2026-07-09T12:00:03.457Z
Suzuki,Grand Vitara,2024,1400000,29500,EGP,https://www.contactcars.com/en/used-cars/suzuki-grand_vitara/aa36871c820c,2026-07-09T12:00:03.457Z
Daewoo,Lanos II,2008,245000,275000,EGP,https://www.contactcars.com/en/used-cars/daewoo-lanos_ii/9ce885dfb75e,2026-07-09T12:00:03.963Z
BMW,X3,2017,2450000,70000,EGP,https://www.contactcars.com/en/used-cars/bmw-x3/fb5556378b57,2026-07-09T12:00:03.963Z
Peugeot,508,2018,850000,156000,EGP,https://www.contactcars.com/en/used-cars/peugeot-508/4ad2d2f73ec6,2026-07-09T12:00:03.963Z
