    car_id,make_name,model_name,year,price,mileage,color,body_shape,transmission,fuel_type,engine_capacity,governorate,dealer_name,is_dealer,lowest_monthly_installment,is_downpayment,downpayment_amount,contact_downpayment_amount,in_warranty,imported,factory_paint,almost_new,crashes,first_owner,agency_maintenance,new_tires,new_brake_pads,recent_maintenance,seller_owned_license,protection_film,nano_ceramic,for_exchange,taxi,for_disabled,installments_continued,scraped_at
1,Hyundai,Accent,2024,850000,28000,Blue,Sedan,Automatic,Gas,1600 CC,Giza,Capital auto,true,13750,true,170000,425000,true,false,true,true,false,,,,,,,,,false,false,false,false,Sun Jul 12 2026 13:43:07 GMT+0300 (Eastern European Summer Time)
2,Mercedes,C180,2017,1950000,150000,White,Cabriolet,Automatic,Gas,1600 CC,Cairo,EL MAALM,true,31545,true,390000,975000,false,false,true,true,false,,,,,,,,,true,false,false,false,Sun Jul 12 2026 13:43:07 GMT+0300 (Eastern European Summer Time)
3,Hyundai,Tucson,2025,1950000,3000,Gray,SUV,Automatic,Gas,1600 CC,Cairo,EL Watania Auto,true,0,true,585000,,,false,false,false,false,,,,,,,,,false,false,false,false,Sun Jul 12 2026 13:43:07 GMT+0300 (Eastern European Summer Time)
4,Mini,Cooper,2019,1200000,95000,Silver,Coupe,Automatic,Gas,1500 CC,Cairo,,false,19412,false,,600000,false,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:08 GMT+0300 (Eastern European Summer Time)
5,Fiat,Tipo,2022,780000,165000,Gray,Sedan,Automatic,Gas,1600 CC,Cairo,,false,0,false,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:08 GMT+0300 (Eastern European Summer Time)
6,Citroen,C5 Aircross,2021,1150000,171000,Dark Grey,SUV,Automatic,Gas,1600 CC,Cairo,,false,0,false,,,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:08 GMT+0300 (Eastern European Summer Time)
7,Toyota,Corolla,2023,1100000,100000,Black,Sedan,Automatic,Gas,1600 CC,Cairo,,false,17794,false,,550000,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:08 GMT+0300 (Eastern European Summer Time)
8,Mercedes,GLC 300,2025,5380000,22000,Black,Hatchback,Automatic,Gas,2000 CC,Cairo,AL BASMA MOTORS,true,87031,true,1614000,2690000,,false,true,true,false,,,,,,,,,false,false,false,false,Sun Jul 12 2026 13:43:09 GMT+0300 (Eastern European Summer Time)
9,MG,6,2020,890000,75000,Red,Sedan,Automatic,Gas,1500 CC,Cairo,,false,14397,false,,445000,false,false,true,false,false,false,true,false,false,true,false,true,true,false,false,false,false,Sun Jul 12 2026 13:43:09 GMT+0300 (Eastern European Summer Time)
10,Hyundai,I30,2026,1280000,2000,Navy Blue,Sedan,Automatic,Hybrid,1500 CC,Gharbia,,false,20706,false,,640000,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:09 GMT+0300 (Eastern European Summer Time)
11,Peugeot,207,2008,350000,250000,Green,Hatchback,Manual,Gas,1600 CC,Giza,,false,0,false,,,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:09 GMT+0300 (Eastern European Summer Time)
12,DFSK,Eagel 580,2019,600000,190000,White,SUV,Automatic,Gas,1500 CC,Cairo,,false,0,false,,,false,false,true,false,false,true,true,true,true,true,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:10 GMT+0300 (Eastern European Summer Time)
13,Hyundai,Tucson,2021,1550000,187400,Silver,SUV,Automatic,Gas,1600 CC,Qalyubia,,false,0,false,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:10 GMT+0300 (Eastern European Summer Time)
14,BMW,523i,2008,600000,235000,Gray,Sedan,Automatic,Gas,2500 CC,Alexandria,,false,0,false,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:10 GMT+0300 (Eastern European Summer Time)
15,Chery,Tiggo 8 Pro Max,2027,1590000,10,Gray,SUV,Automatic,Gas,1500 CC,Cairo,Auto Garage,true,0,true,159000,,,false,false,false,false,,,,,,,,,false,false,false,false,Sun Jul 12 2026 13:43:10 GMT+0300 (Eastern European Summer Time)
16,SsangYong,Torres,2024,1750000,48000,Gray,SUV,Automatic,Gas,1500 CC,Giza,,false,28309,false,,875000,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:11 GMT+0300 (Eastern European Summer Time)
17,Fiat,128 nova,1986,85000,100000,Red,Sedan,Automatic,Gas,1200 CC,Giza,,false,0,false,,,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:11 GMT+0300 (Eastern European Summer Time)
18,Peugeot,5008,2026,2450000,10300,Blue,SUV,Automatic,Gas,1600 CC,Cairo,,false,39633,false,,1225000,true,false,true,true,false,true,true,false,false,false,true,true,true,false,false,false,false,Sun Jul 12 2026 13:43:11 GMT+0300 (Eastern European Summer Time)
19,Mercedes,EQS 450+,2023,5000000,28000,Black,SUV,Automatic,Electric,,Cairo,Ghandour Auto,true,80883,false,,2500000,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:11 GMT+0300 (Eastern European Summer Time)
20,Peugeot,5008,2026,2450000,10300,Blue,SUV,Automatic,Gas,1600 CC,Cairo,,false,39633,false,,1225000,true,false,true,true,false,true,true,false,false,true,true,true,true,false,false,false,false,Sun Jul 12 2026 13:43:11 GMT+0300 (Eastern European Summer Time)
21,Soueast,S 06,2026,1300000,30000,Silver,SUV,Automatic,Gas,1600 CC,Cairo,,false,21030,false,,650000,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:11 GMT+0300 (Eastern European Summer Time)
22,Jeep,Grand Cherokee,2022,4750000,24000,White,SUV,Automatic,Gas,3600 CC,Giza,V22 Auto,true,76839,true,475000,2375000,,false,false,false,false,,,,,,,,,false,false,false,false,Sun Jul 12 2026 13:43:12 GMT+0300 (Eastern European Summer Time)
23,Renault,Captur,2019,650000,149000,Blue,Hatchback,Automatic,Gas,1600 CC,Cairo,,false,10515,false,,325000,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:12 GMT+0300 (Eastern European Summer Time)
24,BMW,520i,2013,1220000,188000,Blue,Sedan,Automatic,Gas,2000 CC,Cairo,,false,0,false,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Sun Jul 12 2026 13:43:12 GMT+0300 (Eastern European Summer Time)
25,Opel,Astra,2016,680000,128000,Red,Sedan,Automatic,Gas,1600 CC,Cairo,,false,11000,false,,340000,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:12 GMT+0300 (Eastern European Summer Time)
26,Toyota,Corolla,2021,1250000,115000,Black,Sedan,Automatic,Gas,1600 CC,Alexandria,,false,20221,false,,625000,false,false,true,true,false,true,true,true,true,true,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:13 GMT+0300 (Eastern European Summer Time)
27,Fiat,Tipo,2022,850000,49000,Gray,Sedan,Automatic,Gas,1600 CC,Monufia,,false,0,false,,445000,false,false,true,true,false,true,true,true,true,true,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:14 GMT+0300 (Eastern European Summer Time)
28,Hyundai,I30,2026,1300000,14000,Dark Grey,Sedan,Automatic,Gas,1400 CC,Cairo,,false,21030,false,,650000,true,false,true,true,false,true,true,true,false,true,false,true,false,false,false,false,false,Sun Jul 12 2026 13:43:14 GMT+0300 (Eastern European Summer Time)
29,Fiat,Tipo,2021,618000,139000,Gray,Sedan,Manual,Gas,1400 CC,Cairo,,false,0,false,,,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,Sun Jul 12 2026 13:43:14 GMT+0300 (Eastern European Summer Time)
